,complex_id,stop_name,constituent_station_name
0,617,Atlantic Av-Barclays Ctr,Atlantic Av-Barclays Ctr
3,28,Union St,Union St
7,608,4 Av-9 St,4 Av-9 St
9,30,Prospect Av,Prospect Av
12,31,25 St,25 St
14,32,36 St,36 St
17,33,45 St,45 St
21,34,53 St,53 St
26,35,59 St,59 St
32,36,Bay Ridge Av,Bay Ridge Av
35,37,77 St,77 St
37,38,86 St,86 St
43,39,Bay Ridge-95 St,Bay Ridge-95 St
48,221,21 St-Queensbridge,21 St-Queensbridge
52,222,Roosevelt Island,Roosevelt Island
53,223,Lexington Av/63 St,Lexington Av/63 St
60,224,57 St,57 St
68,225,47-50 Sts-Rockefeller Ctr,47-50 Sts-Rockefeller Ctr
91,609,42 St-Bryant Pk/5 Av,42 St-Bryant Pk
102,607,34 St-Herald Sq,34 St-Herald Sq
113,228,23 St,23 St
121,601,14 St/6 Av,14 St
131,619,Broadway-Lafayette St/Bleecker St,Broadway-Lafayette St
137,231,Grand St,Grand St
140,232,2 Av,2 Av
144,625,Delancey St-Essex St,Delancey St-Essex St
150,234,East Broadway,East Broadway
154,235,York St,York St
155,236,Bergen St,Bergen St
161,237,Carroll St,Carroll St
166,238,Smith-9 Sts,Smith-9 Sts
170,240,7 Av,7 Av
179,241,15 St-Prospect Park,15 St-Prospect Park
185,242,Fort Hamilton Pkwy,Fort Hamilton Pkwy
189,243,Church Av,Church Av
196,244,Ditmas Av,Ditmas Av
200,245,18 Av,18 Av
204,246,Avenue I,Avenue I
208,247,Bay Pkwy,Bay Pkwy
211,248,Avenue N,Avenue N
215,249,Avenue P,Avenue P
217,250,Kings Hwy,Kings Hwy
221,251,Avenue U,Avenue U
225,252,Avenue X,Avenue X
227,253,Neptune Av,Neptune Av
229,143,Inwood-207 St,Inwood-207 St
235,144,Dyckman St,Dyckman St
242,145,190 St,190 St
244,146,181 St,181 St
250,147,175 St,175 St
258,605,168 St-Washington Hts,168 St
263,149,163 St-Amsterdam Av,163 St-Amsterdam Av
266,150,155 St,155 St
272,152,135 St,135 St
278,153,125 St,125 St
285,154,116 St,116 St
289,155,Cathedral Pkwy (110 St),Cathedral Pkwy (110 St)
292,156,103 St,103 St
293,157,96 St,96 St
296,158,86 St,86 St
301,159,81 St-Museum of Natural History,81 St-Museum of Natural History
305,160,72 St,72 St
308,614,59 St-Columbus Circle,59 St-Columbus Circle
320,162,50 St,50 St
329,611,Times Sq-42 St/Port Authority Bus Terminal,42 St-Port Authority Bus Terminal
340,164,34 St-Penn Station,34 St-Penn Station
357,165,23 St,23 St
368,618,14 St/8 Av,14 St
377,168,Spring St,Spring St
380,169,Canal St,Canal St
386,624,Chambers St/WTC/Park Place/Cortlandt St,Chambers St
406,173,High St,High St
409,636,Jay St-MetroTech,Jay St-MetroTech
419,175,Hoyt-Schermerhorn Sts,Hoyt-Schermerhorn Sts
421,176,Lafayette Av,Lafayette Av
430,177,Clinton-Washington Avs,Clinton-Washington Avs
436,627,Franklin Av,Franklin Av
437,179,Nostrand Av,Nostrand Av
443,180,Kingston-Throop Avs,Kingston-Throop Avs
447,181,Utica Av,Utica Av
452,182,Ralph Av,Ralph Av
455,183,Rockaway Av,Rockaway Av
461,621,Broadway Junction,Broadway Junction
462,185,Liberty Av,Liberty Av
466,186,Van Siclen Av,Van Siclen Av
470,187,Shepherd Av,Shepherd Av
474,188,Euclid Av,Euclid Av
479,167,W 4 St-Wash Sq,W 4 St-Wash Sq
485,151,145 St,145 St
491,1,Astoria-Ditmars Blvd,Astoria-Ditmars Blvd
496,2,Astoria Blvd,Astoria Blvd
502,3,30 Av,30 Av
507,4,Broadway,Broadway
512,5,36 Av,36 Av
515,6,39 Av-Dutch Kills,39 Av-Dutch Kills
517,613,Lexington Av/59 St,Lexington Av/59 St
521,8,5 Av/59 St,5 Av/59 St
528,623,Canal St,Canal St
535,20,City Hall,City Hall
548,22,Rector St,Rector St
557,635,Whitehall St-South Ferry,Whitehall St-South Ferry
563,620,Borough Hall/Court St,Court St
573,293,Van Cortlandt Park-242 St,Van Cortlandt Park-242 St
577,294,238 St,238 St
580,295,231 St,231 St
586,296,Marble Hill-225 St,Marble Hill-225 St
588,297,215 St,215 St
592,298,207 St,207 St
596,299,Dyckman St,Dyckman St
597,300,191 St,191 St
599,301,181 St,181 St
604,303,157 St,157 St
608,304,145 St,145 St
611,305,137 St-City College,137 St-City College
615,306,125 St,125 St
619,307,116 St-Columbia University,116 St-Columbia University
624,308,Cathedral Pkwy (110 St),Cathedral Pkwy (110 St)
627,309,103 St,103 St
632,310,96 St,96 St
638,311,86 St,86 St
643,312,79 St,79 St
647,313,72 St,72 St
651,314,66 St-Lincoln Center,66 St-Lincoln Center
665,316,50 St,50 St
682,318,34 St-Penn Station,34 St-Penn Station
693,319,28 St,28 St
699,320,23 St,23 St
703,321,18 St,18 St
717,323,Christopher St-Stonewall,Christopher St-Stonewall
722,324,Houston St,Houston St
730,325,Canal St,Canal St
734,326,Franklin St,Franklin St
739,327,Chambers St,Chambers St
745,328,WTC Cortlandt,WTC Cortlandt
754,329,Rector St,Rector St
763,9,57 St-7 Av,57 St-7 Av
773,10,49 St,49 St
792,602,34 St-Herald Sq,34 St-Herald Sq
793,13,28 St,28 St
797,14,23 St,23 St
805,16,8 St-NYU,8 St-NYU
813,17,Prince St,Prince St
821,26,DeKalb Av,DeKalb Av
829,41,7 Av,7 Av
831,42,Prospect Park,Prospect Park
833,43,Parkside Av,Parkside Av
835,44,Church Av,Church Av
837,45,Beverley Rd,Beverley Rd
838,46,Cortelyou Rd,Cortelyou Rd
839,47,Newkirk Plaza,Newkirk Plaza
841,48,Avenue H,Avenue H
847,49,Avenue J,Avenue J
851,50,Avenue M,Avenue M
854,51,Kings Hwy,Kings Hwy
857,52,Avenue U,Avenue U
859,53,Neck Rd,Neck Rd
862,54,Sheepshead Bay,Sheepshead Bay
864,55,Brighton Beach,Brighton Beach
872,56,Ocean Pkwy,Ocean Pkwy
878,57,W 8 St-NY Aquarium,W 8 St-NY Aquarium
888,118,3 Av,3 Av
892,119,1 Av,1 Av
902,120,Bedford Av,Bedford Av
911,629,Metropolitan Av/Lorimer St,Lorimer St
915,122,Graham Av,Graham Av
919,123,Grand St,Grand St
925,124,Montrose Av,Montrose Av
927,125,Morgan Av,Morgan Av
930,126,Jefferson St,Jefferson St
936,127,DeKalb Av,DeKalb Av
944,630,Myrtle-Wyckoff Avs,Myrtle-Wyckoff Avs
947,129,Halsey St,Halsey St
953,130,Wilson Av,Wilson Av
954,131,Bushwick Av-Aberdeen St,Bushwick Av-Aberdeen St
955,133,Atlantic Av,Atlantic Av
958,134,Sutter Av,Sutter Av
959,135,Livonia Av,Livonia Av
961,136,New Lots Av,New Lots Av
962,137,East 105 St,East 105 St
964,138,Canarsie-Rockaway Pkwy,Canarsie-Rockaway Pkwy
969,628,Fulton St,Fulton St
978,333,Wall St,Wall St
986,334,Clark St,Clark St
992,210,Norwood-205 St,Norwood-205 St
996,211,Bedford Park Blvd,Bedford Park Blvd
1002,212,Kingsbridge Rd,Kingsbridge Rd
1008,213,Fordham Rd,Fordham Rd
1014,214,182-183 Sts,182-183 Sts
1018,215,Tremont Av,Tremont Av
1024,216,174-175 Sts,174-175 Sts
1028,217,170 St,170 St
1033,218,167 St,167 St
1039,604,161 St-Yankee Stadium,161 St-Yankee Stadium
1047,220,155 St,155 St
1048,283,Greenpoint Av,Greenpoint Av
1049,606,Court Sq-23 St,Court Sq
1052,282,21 St,21 St
1060,284,Nassau Av,Nassau Av
